"title","type","genres","releaseYear","imdbId","imdbAverageRating","imdbNumVotes","availableCountries","service"
"Indiana Jones and the Temple of Doom","movie","Action, Adventure",1984,"tt0087469",7.5,543657,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE","Netflix"
"Dirty Dancing","movie","Drama, Music, Romance",1987,"tt0092890",7.1,263615,"CA","Netflix"
"Indiana Jones and the Last Crusade","movie","Action, Adventure",1989,"tt0097576",8.2,824644,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE","Netflix"
"Beverly Hills Cop","movie","Action, Comedy, Crime",1984,"tt0086960",7.4,219976,"IT, KR, NZ","Netflix"
"Beverly Hills Cop II","movie","Action, Comedy, Crime",1987,"tt0092644",6.6,141202,"IT, KR, NZ","Netflix"
"Gladiator","movie","Action, Adventure, Drama",2000,"tt0172495",8.5,1679923,"CA, KR","Netflix"
"All About My Mother","movie","Comedy, Drama, Romance",1999,"tt0185125",7.8,104852,"ES","Netflix"
"Lock, Stock and Two Smoking Barrels","movie","Action, Comedy, Crime",1998,"tt0120735",8.1,626081,"BE","Netflix"
"Léon: The Professional","movie","Action, Crime, Drama",1994,"tt0110413",8.5,1275522,"CA, JP","Netflix"
"Open Hearts","movie","Drama, Romance",2002,"tt0315543",7.5,11112,"DK, FI, NO, SE","Netflix"
"Taxi Driver","movie","Crime, Drama",1976,"tt0075314",8.2,950626,"AE, AT, BH, CA, CH, DE, DZ, EE, EG, IL, IQ, IT, JO, KW, LB, LI, LT, LU, LV, LY, MA, MC, MT, NZ, OM, PS, QA, SA, SM, TN, TR, YE","Netflix"
"Run Lola Run","movie","Action, Crime, Thriller",1998,"tt0130827",7.6,210606,"AT, CH, DE, LI","Netflix"
"Snatch","movie","Comedy, Crime",2000,"tt0208092",8.2,928412,"AT, BE, CH, CY, DE, EE, FJ, GB, GG, GI, GR, HK, ID, IE, IL, IN, LI, LT, LU, LV, MT, MY, NZ, PH, PK, PT, SG, TH, TR, TW","Netflix"
"Scarface","movie","Crime, Drama",1983,"tt0086250",8.3,940694,"CA, US","Netflix"
"Italian for Beginners","movie","Comedy, Drama, Romance",2000,"tt0243862",7,14054,"DK, FI, NO, SE","Netflix"
"The Big Lebowski","movie","Comedy, Crime",1998,"tt0118715",8.1,875822,"CA","Netflix"
