"title","type","genres","releaseYear","imdbId","imdbAverageRating","imdbNumVotes","availableCountries","service"
"Race","movie","Action, Crime, Drama",2008,"tt1017456",6.7,16400,"AE, AT, BA, BE, BR, CI, CO, CV, DE, DZ, EG, GR, HR, JO, JP, KW, LB, MD, MZ, PT, RO, RS, SA, SC, SE, SN, TW, UY","Netflix"
"Lagaan: Once Upon a Time in India","movie","Drama, Musical, Sport",2001,"tt0169102",8.1,122475,"TZ","Netflix"
"Rock On!!","movie","Drama, Music",2008,"tt1230165",7.7,23049,"AE, AG, AL, AO, AR, AU, AZ, BA, BB, BH, BM, BO, BR, BS, BY, BZ, CA, CI, CL, CM, CO, CR, CU, CV, DO, DZ, EC, EG, FJ, GG, GH, GI, GQ, GR, GT, HK, HN, ID, IL, IN, IQ, JM, JO, JP, KE, KW, LB, LC, LY, MA, MC, MD, ME, MG, MK, ML, MU, MX, MY, MZ, NE, NG, NI, NZ, OM, PA, PE, PH, PK, PS, PY, QA, RO, RS, SA, SC, SG, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW","Netflix"
"A Wednesday","movie","Action, Crime, Drama",2008,"tt1280558",8.1,83319,"AD, AE, AG, AL, AO, AT, AU, AZ, BA, BB, BE, BH, BM, BO, BR, BS, BY, BZ, CA, CI, CL, CM, CO, CR, CV, DO, DZ, EG, FJ, GG, GH, GI, GQ, GT, HK, HN, ID, IL, IN, IQ, IT, JM, JO, JP, KE, KW, LB, LC, LY, MA, MC, MD, ME, MG, MK, ML, MU, MX, MY, MZ, NE, NG, NZ, PE, PH, PK, PS, PT, PY, QA, RO, RS, SC, SG, SN, TC, TH, TR, TT, TW, TZ, UG, US, VE, ZA, ZM, ZW","Netflix"
"Imagine That","movie","Comedy, Drama, Family",2009,"tt0780567",5.6,16035,"AG, AR, BB, BO, BZ, CL, CO, CR, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE","Netflix"
"The Great Waldo Pepper","movie","Adventure, Drama",1975,"tt0073075",6.7,6754,"US","Netflix"
"Zelary","movie","Drama, Romance, War",2003,"tt0288330",7.5,3795,"CZ, SK","Netflix"
"In the Loop","movie","Comedy",2009,"tt1226774",7.4,62321,"GG, NZ","Netflix"
"The Ringer","movie","Comedy, Crime, Drama",1952,"tt0045092",6.4,346,"CZ, DK, EE, ES, FI, GR, HR, HU, IS, IT, LT, LV, MT, NL, NO, PT, RO, SE, SI, SK","Netflix"
"Dachimawa Lee","movie","Action, Adventure, Comedy",2008,"tt1243930",5.2,476,"KR","Netflix"
"Couples Retreat","movie","Comedy",2009,"tt1078940",5.5,116698,"AT, BE, CH, DE, LI, LU, NL, US","Netflix"
"The Stepfather","movie","Mystery, Thriller",2009,"tt0814335",5.6,39884,"AG, AL, AO, AR, AT, AU, BA, BB, BE, BG, BM, BO, BR, BS, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CZ, DE, DK, DO, EC, EE, FI, FR, GB, GF, GG, GH, GI, GQ, GT, HN, HR, HU, IE, IN, IT, JM, JP, KE, LC, LI, LT, LU, LV, MA, MC, ME, MG, MK, ML, MT, MU, MX, MZ, NE, NG, NI, NO, PA, PE, PF, PK, PL, PY, RO, RS, SC, SE, SI, SK, SM, SN, SV, TC, TD, TN, TT, TZ, UG, UY, VE, ZA, ZM, ZW","Netflix"
"Zombieland","movie","Action, Comedy, Horror",2009,"tt1156398",7.5,635229,"AT, CH, DE, FJ, GB, GG, GI, HK, ID, IE, IN, IT, JP, KR, LI, LU, MC, MT, MY, PH, PK, SG, SM, TH, TW, US","Netflix"
"The Final Destination","movie","Horror, Thriller",2009,"tt1144884",5.1,118809,"AT, CH, DE, FJ, HK, ID, IN, KR, LI, LU, MY, NL, PH, PK, PT, SG, TH, TW","Netflix"
"Tonight I'll Sleep at Yours","movie","Comedy, Romance",2007,"tt1024896",5.1,795,"CY, DK, MT, NO, SE","Netflix"
"Cape No. 7","movie","Comedy, Drama, Music",2008,"tt1267160",7,4510,"ID, MY, PH, SG, TH, TW","Netflix"
"I Do: How to Get Married and Stay Single","movie","Comedy, Romance",2006,"tt0478724",6.7,6669,"BG, EE, HR, LI, LT, LV, NL, PT, RO, SI","Netflix"
"Comedian","movie","Comedy, Documentary",2002,"tt0328962",6.9,7342,"CI, CV, GH, KE, MU, MZ, NG, SN, ZM","Netflix"
"KM 31: Kilometre 31","movie","Horror, Mystery, Thriller",2006,"tt0460485",5.3,3630,"AR, BO, BR, BS, CL, CO, CR, DO, EC, ES, GT, HN, LC, MX, NI, PA, PE, PY, SV, UY, VE","Netflix"
"Delhi-6","movie","Drama",2009,"tt1043451",6.2,8570,"AE, AL, AT, AU, BA, BE, BM, BS, DE, DZ, EG, GG, GR, ID, IN, IT, JO, KW, LB, LC, MD, ME, MK, MX, MY, PH, PK, PT, RO, RS, SA, SE, SG, TC, TH, TT, TW, US, UY, ZA, ZW","Netflix"
"Wings of Honneamise","movie","Animation, Drama, Sci-Fi",1987,"tt0093207",7.2,5871,"TW","Netflix"
"Shinjuku Incident","movie","Action, Crime, Drama",2009,"tt1075419",6.9,13858,"AE, AR, AU, BE, BH, BO, BR, BY, BZ, CL, CO, CR, CY, DK, EC, EE, EG, ES, FI, FJ, GB, GR, GT, HN, IL, IQ, IS, JO, KW, LB, LT, LV, MD, NI, NL, NO, NZ, PA, PE, PT, PY, QA, SA, SE, SV, TR, UY, VE","Netflix"
"Adela Has Not Had Supper Yet","movie","Comedy, Crime, Fantasy",1978,"tt0075633",7.4,2064,"CZ, SK","Netflix"
"Life Is a Miracle","movie","Comedy, Drama, Music",2004,"tt0322420",7.5,13538,"BG, CY, EE, GR, HR, IS, LT, LV, NL, PT, RO, SI","Netflix"
"Kaal","movie","Adventure, Horror, Mystery",2005,"tt0415908",4.7,6133,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW","Netflix"
"Snuf de hond in oorlogstijd","movie","Adventure, Drama, Family",2008,"tt1252338",5.8,395,"AT, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LT, LV, NO, PL, PT, RO, SE, SI, SK","Netflix"
"Are You Being Served?","movie","Action, Adventure, Comedy",1977,"tt0075696",6.1,3089,"BG, EE, GR, HR, IS, LT, LV, NL, PT, RO, SI","Netflix"
"Bad Boys","movie","Action, Biography, Crime",2003,"tt0323551",6.2,5341,"DK, FI, NO, SE","Netflix"
"The Manxman","movie","Drama, Romance",1929,"tt0020142",6.2,3365,"CY, DK, FI, LI, MT, NO, SE","Netflix"
"Bad Girls","movie","Comedy",2007,"tt0806940",5.3,2286,"AG, AR, BO, BR, CL, CO, CR, DO, EC, GT, HN, JM, MX, NI, PA, PE, PY, SV, UY, VE","Netflix"
"Night of the Wolf","movie","Action, Drama, Thriller",2008,"tt1118649",5.6,631,"AT, BG, CY, CZ, DE, EE, ES, GB, GI, GR, HR, HU, IS, IT, LI, LT, LU, LV, MT, NL, PL, PT, RO, SI, SK","Netflix"
"The Bodyguard","movie","Action, Comedy",2004,"tt0450996",5.7,1687,"TH","Netflix"
"The Bodyguard 2","movie","Action, Comedy",2007,"tt0989622",5.4,1138,"TH","Netflix"
"The Brothers","movie","Comedy, Drama, Romance",2001,"tt0250274",6.3,5156,"AO, AZ, BY, CI, CM, CV, GH, GQ, KE, MD, MG, ML, MZ, NE, NG, SC, SN, TZ, UA, UG, ZA, ZM, ZW","Netflix"
"Death Note: L Change the World","movie","Crime, Drama, Mystery",2008,"tt0912597",6,8914,"JP, KR","Netflix"
"Secret","movie","Drama, Music, Romance",2007,"tt1037850",7.5,9455,"HK, ID, IN, KR, MY, PH, PK, SG, TH, TW","Netflix"
"Cemetery Without Crosses","movie","Drama, Western",1969,"tt0063740",6.7,2490,"BG, CY, CZ, DK, EE, ES, FI, GR, HR, HU, IS, LT, LV, NL, NO, PT, RO, SE, SI, SK","Netflix"
"Headhunter","movie","Thriller",2009,"tt1322315",6.6,2399,"CY, EE, GI, GR, IS, LT, LV","Netflix"
"Life in a Metro","movie","Comedy, Drama, Musical",2007,"tt0800956",7.4,13237,"AD, AE, AG, AL, AO, AT, AU, AZ, BA, BB, BE, BH, BM, BR, BS, BY, BZ, CA, CI, CL, CM, CO, CR, CV, DE, DO, DZ, EC, EG, FJ, GB, GG, GH, GI, GQ, GR, GT, HK, ID, IL, IN, IT, JM, JO, JP, KE, KW, LB, LC, MA, MC, MD, ME, MG, MK, ML, MU, MX, MY, MZ, NE, NG, NO, NZ, PE, PH, PK, PT, PY, QA, RO, RS, SA, SC, SE, SG, SN, SV, TC, TH, TR, TT, TW, TZ, UG, US, UY, VE, ZA, ZM, ZW","Netflix"
"The Book of Eli","movie","Action, Adventure, Drama",2010,"tt1037705",6.8,345935,"AD, AE, AG, AO, AR, AT, AU, BB, BH, BO, BR, BS, BZ, CH, CL, CO, CR, CU, CV, DE, DO, EC, EE, EG, ES, FJ, GF, GT, HK, HN, HU, ID, IQ, JM, JO, KW, LB, LC, LI, LT, LU, LV, LY, MX, MY, MZ, NI, NZ, OM, PA, PE, PH, PT, PY, QA, RO, SA, SG, SV, TC, TH, TR, TT, TW, UY, VE, YE, ZA, ZM, ZW","Netflix"
"Agyaat","movie","Adventure, Drama, Horror",2009,"tt1415252",3,746,"AE, BA, BO, CO, DZ, IT, KW, PK, PT, RO, RS, SE, TW","Netflix"
"Jonah Hex","movie","Action, Drama, Fantasy",2010,"tt1075747",4.7,62608,"AD, ES, PT","Netflix"
"Cradle of Fear","movie","Horror",2001,"tt0291833",4.2,3817,"AT, BE, BG, CH, CY, CZ, DE, EE, ES, FR, GB, GR, HR, HU, IE, IS, IT, LT, LU, LV, PL, PT, RO, SI, SK","Netflix"
"The Last Days","movie","Documentary, War",1998,"tt0174852",7.9,5940,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, US, UY, VE, YE, ZA, ZM, ZW","Netflix"
"The City of Violence","movie","Action, Crime, Thriller",2006,"tt0821470",6.6,4830,"KR","Netflix"
"Amanece, que no es poco","movie","Comedy, Fantasy",1989,"tt0094641",7.4,4333,"ES","Netflix"
"Robin Hood","movie","Action, Adventure, Drama",2010,"tt0955308",6.6,287363,"AD, AE, AG, AO, AU, BE, BH, BM, BO, BR, BS, BZ, CI, CL, CO, CR, CU, CV, DK, DO, DZ, EC, EG, ES, FR, GB, GF, GG, GH, GI, GT, HK, HN, ID, IE, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LY, MA, MG, ML, MU, MX, MY, MZ, NG, NO, NZ, PA, PE, PF, PH, PK, PS, PT, PY, QA, SA, SC, SE, SG, SN, SV, TC, TH, TR, TW, TZ, US, UY, VE, ZA, ZM, ZW","Netflix"
"Kaminey","movie","Action, Crime, Drama",2009,"tt1274295",7.4,18371,"AD, AE, AG, AL, AO, AU, AZ, BA, BB, BE, BH, BM, BO, BR, BS, BY, BZ, CA, CI, CL, CM, CO, CR, CV, DO, DZ, EG, FJ, GG, GH, GI, GQ, GR, GT, HK, HN, ID, IL, IN, IQ, IT, JM, JO, JP, KE, KW, LB, LC, LY, MA, MC, MD, ME, MG, MK, ML, MU, MX, MY, MZ, NE, NG, NZ, PA, PH, PK, PS, PY, QA, RO, RS, SA, SC, SE, SG, SN, TC, TH, TR, TT, TW, TZ, UG, US, UY, VE, ZA, ZM, ZW","Netflix"
"Little Giants","movie","Comedy, Family, Sport",1994,"tt0110364",6.4,31475,"BE","Netflix"
"Shootout at Lokhandwala","movie","Action, Crime, Drama",2007,"tt0811066",7.1,11072,"CI, CV, MZ, SN","Netflix"
"The Substitute","movie","Action, Crime, Drama",1996,"tt0117774",6,16372,"AD, FR, GF, LU, MC, PF","Netflix"
"Angel of Death","movie","Action, Crime, Thriller",2009,"tt1269734",4.9,2459,"AO, EE, KR, LT, LV, MG, ML, ZA","Netflix"
"Yield to the Night","movie","Crime, Drama",1956,"tt0049019",7.1,1592,"CY, DK, FI, LI, MT, NO, SE","Netflix"
"The Master","movie","Action, Comedy, Crime",1992,"tt0097775",5.7,3057,"HK, ID, MY, PH, SG, TH, TW","Netflix"
"Funny People","movie","Comedy, Drama",2009,"tt1201167",6.3,124618,"US","Netflix"
"Jim Gaffigan: King Baby","movie","Comedy",2009,"tt1390471",7.7,2770,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GR, GT, HK, HN, HR, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW","Netflix"
"Taxi No. 9 2 11: Nau Do Gyarah","movie","Comedy, Drama, Thriller",2006,"tt0476884",7.3,10813,"CI, CV, MZ, SN","Netflix"
"The Ugly Truth","movie","Comedy, Romance",2009,"tt1142988",6.4,233578,"AL, AU, BA, BG, CA, CH, CY, CZ, EE, FJ, GB, GG, GI, GR, HK, HR, HU, ID, IE, IN, IT, JP, KR, LT, LV, MC, ME, MK, MT, MY, PH, PK, PL, RO, RS, SG, SI, SK, SM, TH, TR, TW","Netflix"
"Art of Seduction","movie","Comedy, Romance",2005,"tt0492650",6,1543,"KR","Netflix"
"Naruto Shippûden: The Movie","movie","Action, Adventure, Animation",2007,"tt0988982",6.7,5058,"AG, AR, BB, BE, BM, BO, BR, BS, BZ, CA, CL, CO, CR, CU, DO, EC, FR, GF, GT, HN, JM, JP, LC, LU, MX, NI, PA, PE, PY, SV, TC, TT, US, UY, VE","Netflix"
"Gurren Lagann the Movie: Childhood's End","movie","Action, Animation, Comedy",2008,"tt1288461",7.6,1963,"JP","Netflix"
"The Swimsuit Issue","movie","Comedy, Drama",2008,"tt1209367",5.8,1480,"AT, BG, BM, CH, CY, CZ, DE, EE, ES, FR, GB, GG, GI, GR, HR, HU, IE, IS, IT, LT, LV, PL, PT, RO, SI, SK, TC","Netflix"
"Babas bilar","movie","Action, Comedy",2006,"tt0473609",4.7,892,"AT, BE, BG, BM, CH, CY, CZ, DE, EE, ES, FR, GB, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, PL, PT, RO, SI, SK, TC","Netflix"
"Kenny Begins","movie","Action, Comedy, Sci-Fi",2009,"tt1278180",5.7,2005,"AT, BE, BG, BM, CH, CY, CZ, DE, EE, ES, FR, GB, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, PL, PT, RO, SI, SK, TC","Netflix"
"Balto","movie","Adventure, Animation, Drama",1995,"tt0112453",7.1,49051,"IE","Netflix"
"Executive Protection","movie","Action, Crime, Thriller",2001,"tt0220623",6.3,4817,"DK, FI, NO, SE","Netflix"
"The Third Wave","movie","Action, Crime, Thriller",2003,"tt0313724",6.3,4181,"DK, FI, NO, SE","Netflix"
"The Method","movie","Drama, Thriller",2005,"tt0427582",7.1,12327,"AG, AR, BB, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, GT, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE","Netflix"
"Big Eden","movie","Comedy, Drama, Romance",2000,"tt0212815",7.3,5057,"CA, US","Netflix"
"Ocean Waves","movie","Animation, Drama, Romance",1993,"tt0108432",6.6,21265,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UA, UG, UY, VE, YE, ZA, ZM, ZW","Netflix"
"Girls Will Be Girls","movie","Comedy, Romance",2003,"tt0339071",7,1656,"US","Netflix"
"Ready, Steady, Charlie!","movie","Comedy, Romance",2003,"tt0353161",5.1,1211,"CH","Netflix"
"Zero Tolerance","movie","Action, Crime, Thriller",1999,"tt0198837",6.5,4292,"DK, FI, NO, SE","Netflix"
"Lakshya","movie","Action, Drama, Romance",2004,"tt0323013",7.8,26176,"AD, AE, AG, AL, AO, AR, AU, AZ, BA, BB, BH, BM, BO, BR, BS, BY, BZ, CA, CI, CL, CM, CO, CR, CU, CV, CZ, DO, DZ, EC, EG, FJ, GG, GH, GI, GQ, GR, GT, HK, HN, HR, ID, IL, IN, IQ, JM, JO, JP, KE, KW, LB, LC, LY, MA, MC, MD, ME, MG, MK, ML, MU, MX, MY, MZ, NE, NG, NI, NZ, OM, PA, PE, PH, PK, PS, PY, QA, RO, RS, SA, SC, SG, SM, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW","Netflix"
"Intimate Strangers","movie","Drama, Romance, Thriller",2004,"tt0363532",6.9,5320,"BG, EE, GR, HR, IS, LI, LT, LV, PT, RO, SI","Netflix"
"Orphan","movie","Horror, Mystery, Thriller",2009,"tt1148204",7,260080,"CY, TR","Netflix"
"Dil Se..","movie","Drama, Romance",1998,"tt0164538",7.5,31890,"AD, AE, AG, AL, AO, AR, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BS, BY, BZ, CA, CH, CI, CL, CM, CO, CR, CU, CV, CY, CZ, DE, DK, DO, DZ, EC, EE, EG, ES, FI, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NI, NL, NO, NZ, OM, PA, PE, PF, PH, PK, PL, PS, PT, PY, QA, RO, RS, SA, SC, SE, SG, SI, SK, SN, SV, TC, TH, TN, TR, TT, TW, TZ, UG, US, UY, VE, YE, ZA, ZM, ZW","Netflix"
"Carry on Constable","movie","Comedy",1960,"tt0053699",6.2,2900,"HR, HU, IS, IT, LT, LV, NL, PT, SE, SI, SK","Netflix"
"Lovers & Leavers","movie","Drama, Romance",2002,"tt0307076",5.6,1826,"DK, FI, NO, SE","Netflix"
"Someone Like Hodder","movie","Family, Fantasy",2003,"tt0338453",6,398,"AT, BM, CH, CY, CZ, DE, EE, ES, GB, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, PL, PT, RO, SI, SK, TC","Netflix"
"The Crumbs: A Very Crumby Christmas","movie","Adventure, Comedy, Family",2006,"tt0810927",4.3,241,"AT, BE, BG, BM, CH, CY, CZ, DE, EE, ES, FR, GB, GG, GI, GR, HR, HU, IE, IS, LI, LT, LU, LV, MT, NL, PL, PT, RO, SI, SK, TC","Netflix"
"Wake Up Sid","movie","Comedy, Drama, Romance",2009,"tt1324059",7.6,35020,"AD, AE, AG, AL, AO, AT, AU, AZ, BA, BB, BH, BM, BO, BR, BS, BY, BZ, CA, CI, CM, CO, CR, CV, DE, DO, DZ, EC, EG, FJ, GG, GH, GI, GQ, GR, GT, HK, HR, ID, IL, IN, IQ, JM, JO, JP, KE, KW, LB, LC, LY, MA, MC, MD, ME, MG, MK, ML, MU, MX, MY, MZ, NE, NG, NZ, PA, PE, PH, PK, PS, PT, QA, RO, RS, SA, SC, SE, SG, SN, SV, TC, TH, TR, TT, TW, TZ, UG, US, UY, ZA, ZM, ZW","Netflix"
"French Fried Vacation 3: Friends Forever","movie","Comedy",2006,"tt0445800",4,3686,"DK, FI, LI, MT, NO, SE","Netflix"
"Everybody Has Secrets","movie","Comedy, Romance",2004,"tt0416080",6,643,"KR","Netflix"
"Roja","movie","Drama, Romance, Thriller",1992,"tt0105271",8.1,14017,"AE, AG, AL, AO, AT, AU, AZ, BA, BB, BE, BG, BH, BM, BO, BR, BS, BY, BZ, CA, CH, CI, CM, CR, CV, CY, CZ, DE, DK, DZ, EC, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GI, GQ, GR, GT, HK, HN, HR, HU, ID, IE, IL, IN, IQ, IS, IT, JM, JO, JP, KE, KR, KW, LB, LC, LI, LT, LU, LV, LY, MA, MC, MD, ME, MG, MK, ML, MT, MU, MX, MY, MZ, NE, NG, NL, NO, NZ, PA, PE, PH, PK, PL, PS, PT, QA, RO, RS, SA, SC, SE, SG, SI, SK, SN, TC, TH, TN, TR, TT, TZ, UG, US, UY, VE, ZA, ZM, ZW","Netflix"
"Noroi","movie","Horror, Mystery, Thriller",2005,"tt0930083",6.8,16376,"TW","Netflix"
"Barking Dogs Never Bite","movie","Comedy",2000,"tt0269743",6.9,10762,"KR","Netflix"
"A Prophet","movie","Crime, Drama",2009,"tt1235166",7.8,103465,"CA","Netflix"
"Kisaan","movie","Action, Crime, Drama",2009,"tt1372266",5.5,339,"BA, CI, CO, CV, DE, DZ, EG, IT, JO, KW, LB, MD, MZ, PK, RO, RS, SN","Netflix"
"The Fallen Idol","movie","Drama, Film-Noir, Mystery",1948,"tt0040338",7.6,9916,"BG, CY, EE, GR, HR, IS, LI, LT, LV, NL, PT, RO, SI","Netflix"
"Sex Is Zero 2","movie","Comedy, Drama, Romance",2007,"tt1556214",6,1567,"KR","Netflix"
"Peter Bell II: The Hunt for the Czar Crown","movie","Family",2003,"tt0357959",5.7,1656,"AT, BE, BG, CH, CY, CZ, DE, EE, ES, FR, GB, GR, HR, HU, IE, IS, IT, LT, LU, LV, NL, PL, PT, RO, SI, SK","Netflix"
"Dorm","movie","Drama, Horror, Mystery",2006,"tt0495824",6.8,2264,"TH","Netflix"
"L'entente cordiale","movie","Action, Adventure, Comedy",2006,"tt0450615",4.4,613,"DK, NO, SE","Netflix"
"Cash Truck","movie","Action, Crime, Drama",2004,"tt0347330",6.5,4476,"DK, FI, MT, NO, SE","Netflix"
"Body","movie","Drama, Horror, Mystery",2007,"tt1160315",6.3,1226,"TH","Netflix"
"Neon Genesis Evangelion: Death & Rebirth","movie","Action, Animation, Drama",1997,"tt0169880",7.2,16010,"AU, BR, CA, DE, ES, FR, GB, IT, JP, KR, MX, US","Netflix"
"A Chinese Odyssey: Part 2 - Cinderella","movie","Action, Adventure, Comedy",1995,"tt0114996",7.8,8827,"CA, TZ, US","Netflix"
"Once in a Lifetime","movie","Comedy, Drama, Music",2000,"tt0265232",5.3,2443,"AT, BE, BG, BM, CH, CY, CZ, DE, EE, ES, FR, GB, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, PL, PT, RO, SI, SK, TC","Netflix"
"Aagey Se Right","movie","Comedy, Crime, Drama",2009,"tt1479667",5.2,429,"AE, AT, DZ, EG, JO, KW, LB, PT, TW","Netflix"
"Blood and Bone","movie","Action, Crime, Drama",2009,"tt0346631",6.7,36444,"US","Netflix"
"The Return of the Jonsson League","movie","Comedy, Crime",1986,"tt0091314",6.2,3962,"AT, BE, BG, BM, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GF, GG, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, NO, PF, PL, PT, RO, SE, SI, SK","Netflix"
"All's Well, Ends Well 2009","movie","Comedy",2009,"tt1305854",4.9,523,"HK, ID, MY, PH, SG, TH","Netflix"
"Ride with the Devil","movie","Drama, Romance, War",1999,"tt0134154",6.7,14751,"AT, CH, DE","Netflix"
"Baby Geniuses","movie","Comedy, Crime, Family",1999,"tt0118665",2.6,27865,"AD, AG, AR, BB, BM, BO, BR, BS, BZ, CL, CO, CR, CU, DO, EC, ES, FJ, GT, HK, HN, ID, JM, JP, LC, MX, MY, NI, PA, PE, PH, PT, PY, SG, SV, TC, TH, TT, TW, UY, VE","Netflix"
"Ezra","movie","Drama",2007,"tt0923688",6.4,292,"AE, AG, AL, AU, AZ, BA, BE, BG, BM, BR, BS, BY, CH, CY, CZ, DE, DZ, EE, EG, FR, GB, GI, GR, IN, IS, JM, LB, LC, LI, LT, LV, MC, MD, ME, MK, MT, NE, PH, PK, PL, PS, PT, RS, SG, SI, SK, TC, TW, US, ZA","Netflix"
"Saturn in Opposition","movie","Drama, Romance",2007,"tt0890885",6.7,5002,"IT, SM","Netflix"
"The Professionals","movie","Action, Adventure, Drama",1966,"tt0060862",7.3,19364,"AD, AU, DK, FI, FJ, FR, GB, GF, GG, GI, HK, ID, IE, IN, IS, MA, MC, MU, MY, NO, NZ, PF, PH, PK, SE, SG, TH, TW","Netflix"
"Laskar Pelangi","movie","Adventure, Drama, Family",2008,"tt1301264",7.9,2639,"ID","Netflix"
"Who Pulled the Plug?","movie","Comedy",1981,"tt0082490",5.8,4529,"AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GF, GI, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MT, NL, NO, PF, PL, PT, RO, SE, SI, SK","Netflix"
"Göta kanal 2 - Kanalkampen","movie","Comedy",2006,"tt0756654",3.3,2650,"DK, FI, NO, SE","Netflix"
"The 3 Wise Men","movie","Animation, Family",2003,"tt0400771",5.4,478,"ES","Netflix"
"Thirst","movie","Drama, Fantasy, Horror",2009,"tt0762073",7.1,52339,"HK, KR, SG, TW","Netflix"
"My Bestfriend's Girlfriend","movie","Comedy, Drama, Romance",2008,"tt1143156",6.1,256,"PH","Netflix"
"Tom and Jerry: The Movie","movie","Adventure, Animation, Comedy",1992,"tt0105616",5.4,12413,"AU, BA, BE, BG, CH, CZ, FJ, HK, HR, HU, ID, IT, JP, MD, ME, MK, MY, NL, NZ, PH, PK, PL, RO, RS, SG, SI, SK, SM, TH, TW","Netflix"
